subset,model,k,metric,value,n_questions
unchanged,AliasAwareFusion,8,nDCG,0.662061353868749,1355
unchanged,AliasAwareFusion,9,Strict-Hit,0.9439114391143911,1355
unchanged,AliasAwareFusion,9,Strict-Recall,0.9439114391143911,1355
unchanged,AliasAwareFusion,9,Strict-MRR,0.8357175071750719,1355
unchanged,AliasAwareFusion,9,nDCG,0.6640359844018665,1355
unchanged,AliasAwareFusion,10,Strict-Hit,0.9490774907749078,1355
unchanged,AliasAwareFusion,10,Strict-Recall,0.9490774907749078,1355
unchanged,AliasAwareFusion,10,Strict-MRR,0.8362341123411233,1355
unchanged,AliasAwareFusion,10,nDCG,0.6657919023861317,1355
unchanged,WithoutEntity,1,Strict-Hit,0.7107011070110701,1355
unchanged,WithoutEntity,1,Strict-Recall,0.7107011070110701,1355
unchanged,WithoutEntity,1,Strict-MRR,0.7107011070110701,1355
unchanged,WithoutEntity,1,nDCG,0.7170268845545599,1355
unchanged,WithoutEntity,2,Strict-Hit,0.785239852398524,1355
unchanged,WithoutEntity,2,Strict-Recall,0.785239852398524,1355
unchanged,WithoutEntity,2,Strict-MRR,0.747970479704797,1355
unchanged,WithoutEntity,2,nDCG,0.6177663532486452,1355
unchanged,WithoutEntity,3,Strict-Hit,0.825830258302583,1355
unchanged,WithoutEntity,3,Strict-Recall,0.825830258302583,1355
unchanged,WithoutEntity,3,Strict-MRR,0.76150061500615,1355
unchanged,WithoutEntity,3,nDCG,0.5871260820955165,1355
unchanged,WithoutEntity,4,Strict-Hit,0.8494464944649447,1355
unchanged,WithoutEntity,4,Strict-Recall,0.8494464944649447,1355
unchanged,WithoutEntity,4,Strict-MRR,0.7674046740467404,1355
unchanged,WithoutEntity,4,nDCG,0.599076515328275,1355
unchanged,WithoutEntity,5,Strict-Hit,0.8619926199261992,1355
unchanged,WithoutEntity,5,Strict-Recall,0.8619926199261992,1355
unchanged,WithoutEntity,5,Strict-MRR,0.7699138991389914,1355
unchanged,WithoutEntity,5,nDCG,0.6052793351105917,1355
unchanged,WithoutEntity,6,Strict-Hit,0.8723247232472324,1355
unchanged,WithoutEntity,6,Strict-Recall,0.8723247232472324,1355
unchanged,WithoutEntity,6,Strict-MRR,0.7716359163591635,1355
unchanged,WithoutEntity,6,nDCG,0.6104681237237237,1355
unchanged,WithoutEntity,7,Strict-Hit,0.8848708487084871,1355
unchanged,WithoutEntity,7,Strict-Recall,0.8848708487084871,1355
unchanged,WithoutEntity,7,Strict-MRR,0.7734282199964857,1355
unchanged,WithoutEntity,7,nDCG,0.6150197049884671,1355
unchanged,WithoutEntity,8,Strict-Hit,0.8937269372693727,1355
unchanged,WithoutEntity,8,Strict-Recall,0.8937269372693727,1355
unchanged,WithoutEntity,8,Strict-MRR,0.7745352310665964,1355
unchanged,WithoutEntity,8,nDCG,0.6186768396052275,1355
unchanged,WithoutEntity,9,Strict-Hit,0.8981549815498155,1355
unchanged,WithoutEntity,9,Strict-Recall,0.8981549815498155,1355
unchanged,WithoutEntity,9,Strict-MRR,0.7750272359866455,1355
unchanged,WithoutEntity,9,nDCG,0.620476851729677,1355
unchanged,WithoutEntity,10,Strict-Hit,0.9033210332103321,1355
unchanged,WithoutEntity,10,Strict-Recall,0.9033210332103321,1355
unchanged,WithoutEntity,10,Strict-MRR,0.7755438411526973,1355
unchanged,WithoutEntity,10,nDCG,0.6222916304939728,1355
unchanged,WithoutPhrase,1,Strict-Hit,0.744649446494465,1355
unchanged,WithoutPhrase,1,Strict-Recall,0.744649446494465,1355
unchanged,WithoutPhrase,1,Strict-MRR,0.744649446494465,1355
unchanged,WithoutPhrase,1,nDCG,0.755086979441223,1355
unchanged,WithoutPhrase,2,Strict-Hit,0.8346863468634687,1355
unchanged,WithoutPhrase,2,Strict-Recall,0.8346863468634687,1355
unchanged,WithoutPhrase,2,Strict-MRR,0.7896678966789668,1355
unchanged,WithoutPhrase,2,nDCG,0.6568194167888495,1355
unchanged,WithoutPhrase,3,Strict-Hit,0.8686346863468635,1355
unchanged,WithoutPhrase,3,Strict-Recall,0.8686346863468635,1355
unchanged,WithoutPhrase,3,Strict-MRR,0.8009840098400983,1355
unchanged,WithoutPhrase,3,nDCG,0.622364092482499,1355
unchanged,WithoutPhrase,4,Strict-Hit,0.8922509225092251,1355
unchanged,WithoutPhrase,4,Strict-Recall,0.8922509225092251,1355
unchanged,WithoutPhrase,4,Strict-MRR,0.8068880688806888,1355
unchanged,WithoutPhrase,4,nDCG,0.6333901822280534,1355
unchanged,WithoutPhrase,5,Strict-Hit,0.9025830258302583,1355
unchanged,WithoutPhrase,5,Strict-Recall,0.9025830258302583,1355
unchanged,WithoutPhrase,5,Strict-MRR,0.8089544895448953,1355
unchanged,WithoutPhrase,5,nDCG,0.6376779752377337,1355
unchanged,WithoutPhrase,6,Strict-Hit,0.9114391143911439,1355
unchanged,WithoutPhrase,6,Strict-Recall,0.9114391143911439,1355
unchanged,WithoutPhrase,6,Strict-MRR,0.8104305043050429,1355
unchanged,WithoutPhrase,6,nDCG,0.6414782916783617,1355
unchanged,WithoutPhrase,7,Strict-Hit,0.922509225092251,1355
unchanged,WithoutPhrase,7,Strict-Recall,0.922509225092251,1355
unchanged,WithoutPhrase,7,Strict-MRR,0.8120119486909155,1355
unchanged,WithoutPhrase,7,nDCG,0.6464636417607937,1355
unchanged,WithoutPhrase,8,Strict-Hit,0.9306273062730628,1355
unchanged,WithoutPhrase,8,Strict-Recall,0.9306273062730628,1355
