subset,model,k,metric,value_mean,value_std
changed,WithoutEntity,7,Strict-Recall,0.817378497790869,0.0
changed,WithoutEntity,7,nDCG,0.5589358569332812,0.0
changed,WithoutEntity,8,Strict-Hit,0.8247422680412372,0.0
changed,WithoutEntity,8,Strict-MRR,0.6800529490146574,0.0
changed,WithoutEntity,8,Strict-Recall,0.8247422680412372,0.0
changed,WithoutEntity,8,nDCG,0.5618658736896168,0.0
changed,WithoutEntity,9,Strict-Hit,0.8321060382916053,0.0
changed,WithoutEntity,9,Strict-MRR,0.6808711457091428,0.0
changed,WithoutEntity,9,Strict-Recall,0.8321060382916053,0.0
changed,WithoutEntity,9,nDCG,0.5648098400462287,0.0
changed,WithoutEntity,10,Strict-Hit,0.8379970544918999,0.0
changed,WithoutEntity,10,Strict-MRR,0.6814602473291722,0.0
changed,WithoutEntity,10,Strict-Recall,0.8379970544918999,0.0
changed,WithoutEntity,10,nDCG,0.5676372851480425,0.0
changed,WithoutPhrase,1,Strict-Hit,0.7437407952871871,0.006419586072961205
changed,WithoutPhrase,1,Strict-MRR,0.7437407952871871,0.006419586072961205
changed,WithoutPhrase,1,Strict-Recall,0.7437407952871871,0.006419586072961205
changed,WithoutPhrase,1,nDCG,0.7538396802019777,0.006419586072961271
changed,WithoutPhrase,2,Strict-Hit,0.8217967599410899,0.0014727540500736325
changed,WithoutPhrase,2,Strict-MRR,0.7827687776141384,0.003374503457257602
changed,WithoutPhrase,2,Strict-Recall,0.8217967599410899,0.0014727540500736325
changed,WithoutPhrase,2,nDCG,0.6561866479253059,0.0017651998325316108
changed,WithoutPhrase,3,Strict-Hit,0.8699067255768287,0.003065782031614323
changed,WithoutPhrase,3,Strict-MRR,0.7988054328260513,0.0034915052026431447
changed,WithoutPhrase,3,Strict-Recall,0.8699067255768287,0.003065782031614323
changed,WithoutPhrase,3,nDCG,0.6191103018458487,0.0019467915348786629
changed,WithoutPhrase,4,Strict-Hit,0.8929798723613157,0.0017005898945202465
changed,WithoutPhrase,4,Strict-MRR,0.804573719522173,0.0031346118073131766
changed,WithoutPhrase,4,Strict-Recall,0.8929798723613157,0.0017005898945202465
changed,WithoutPhrase,4,nDCG,0.6298235461933325,0.0012878019704899693
changed,WithoutPhrase,5,Strict-Hit,0.9096710849288169,0.0017005898945201344
changed,WithoutPhrase,5,Strict-MRR,0.8079119620356733,0.0033902086420163516
changed,WithoutPhrase,5,Strict-Recall,0.9096710849288169,0.0017005898945201344
changed,WithoutPhrase,5,nDCG,0.6375631618775373,0.0018035186604812654
changed,WithoutPhrase,6,Strict-Hit,0.9248895434462444,0.00255088484178045
changed,WithoutPhrase,6,Strict-MRR,0.8104483717885781,0.003032817977122848
changed,WithoutPhrase,6,Strict-Recall,0.9248895434462444,0.00255088484178045
changed,WithoutPhrase,6,nDCG,0.6428258328290096,0.0015062586972114528
changed,WithoutPhrase,7,Strict-Hit,0.9302896416298477,0.0008502949472601232
changed,WithoutPhrase,7,Strict-MRR,0.8112198143862356,0.0031629269609022037
changed,WithoutPhrase,7,Strict-Recall,0.9302896416298477,0.0008502949472601232
changed,WithoutPhrase,7,nDCG,0.6452510146741154,0.0015679080721354463
changed,WithoutPhrase,8,Strict-Hit,0.9366715758468335,0.0014727540500736325
changed,WithoutPhrase,8,Strict-MRR,0.8120175561633588,0.0032105142554665913
changed,WithoutPhrase,8,Strict-Recall,0.9366715758468335,0.0014727540500736325
changed,WithoutPhrase,8,nDCG,0.6484409979781579,0.0015790040292200784
changed,WithoutPhrase,9,Strict-Hit,0.9440353460972016,0.0014727540500737435
changed,WithoutPhrase,9,Strict-MRR,0.8128357528578442,0.0032105142554666147
changed,WithoutPhrase,9,Strict-Recall,0.9440353460972016,0.0014727540500737435
changed,WithoutPhrase,9,nDCG,0.651235915940216,0.0012765309304091212
changed,WithoutPhrase,10,Strict-Hit,0.9474717722140401,0.0008502949472601232
changed,WithoutPhrase,10,Strict-MRR,0.813179395469528,0.0032570529921423135
changed,WithoutPhrase,10,Strict-Recall,0.9474717722140401,0.0008502949472601232
